date,cash,holdings_value,equity,n_positions
2018-09-13,349.9519556861734,29832.60772271064,30182.559678396814,55
2018-09-14,349.9519556861734,29894.098095346264,30244.05005103244,55
2018-09-17,348.65607345244337,29821.718330831423,30170.374404283866,55
2018-09-18,355.1381837656071,29947.4156587815,30302.55384254711,55
2018-09-19,355.1381837656071,30068.186259157676,30423.324442923284,55
2018-09-20,244.30978221923363,30436.593567187367,30680.9033494066,55
2018-09-21,244.30978221923363,30465.25136056161,30709.561142780844,55
2018-09-24,295.9578218586681,30192.97116076984,30488.92898262851,55
2018-09-25,375.20083719426646,30022.85943262238,30398.060269816644,55
2018-09-26,375.20083719426646,29852.216043954897,30227.41688114916,55
2018-09-27,427.22583876391195,29739.810818436497,30167.03665720041,55
2018-09-28,427.22583876391195,29833.112416953532,30260.338255717445,55
2018-10-01,427.22583876391195,29863.845529020247,30291.07136778416,55
2018-10-02,427.22583876391195,29874.606614142693,30301.832452906605,55
2018-10-03,526.9028876461103,29793.653040172518,30320.555927818627,55
2018-10-04,516.2227044368454,29613.590184191045,30129.81288862789,55
2018-10-05,516.2227044368454,29516.640764397518,30032.863468834363,55
2018-10-08,516.2227044368454,29598.476191223777,30114.698895660622,55
2018-10-09,516.2227044368454,29523.717012125286,30039.93971656213,55
2018-10-10,790.3051088788603,28477.29719865044,29267.6023075293,54
2018-10-11,1435.296848243122,27213.88788079859,28649.18472904171,53
2018-10-12,282.4976414930254,28537.48252725939,28819.980168752416,55
2018-10-15,282.4976414930254,28499.247439971572,28781.745081464596,55
2018-10-16,282.4976414930254,28965.607367418997,29248.10500891202,55
2018-10-17,282.4976414930254,28936.463963170063,29218.961604663087,55
2018-10-18,354.2443669011351,28530.865301351634,28885.109668252768,55
2018-10-19,354.2443669011351,28563.454685376877,28917.69905227801,55
2018-10-22,354.2443669011351,28230.5828986626,28584.827265563734,55
2018-10-23,354.2443669011351,28053.537172400516,28407.78153930165,55
2018-10-24,354.2443669011351,27382.116995619173,27736.361362520307,55
2018-10-25,411.9441428101867,27615.968057695405,28027.91220050559,55
2018-10-26,411.9441428101867,27251.53447093195,27663.478613742136,55
2018-10-29,411.9441428101867,27241.44521120629,27653.389354016475,55
2018-10-30,411.9441428101867,27731.70126216445,28143.645404974635,55
2018-10-31,474.24417558471237,27836.913939367514,28311.158114952228,55
2018-11-01,474.24417558471237,28191.83802701758,28666.082202602294,55
2018-11-02,481.8820797788753,27979.328276146833,28461.21035592571,55
2018-11-05,481.8820797788753,28183.68230709367,28665.564386872546,55
2018-11-06,481.8820797788753,28314.36876714242,28796.250846921295,55
2018-11-07,481.8820797788753,28843.133670709707,29325.015750488583,55
2018-11-08,578.5232022169348,28600.871712929933,29179.39491514687,55
2018-11-09,523.357986506857,28298.029980630068,28821.387967136925,55
2018-11-12,549.6381773551159,27799.27345333074,28348.911630685856,55
2018-11-13,549.6381773551159,27735.041847249497,28284.68002460461,55
2018-11-14,548.458729763555,27502.539573126534,28050.99830289009,55
2018-11-15,548.458729763555,27697.140993328358,28245.599723091913,55
2018-11-16,548.458729763555,27828.41279385058,28376.871523614136,55
2018-11-19,548.458729763555,27608.226012561012,28156.684742324567,55
2018-11-20,372.1132595090835,27280.174161998864,27652.287421507946,55
2018-11-21,400.6199186006364,27369.0678499346,27769.687768535237,55
2018-11-23,400.6199186006364,27154.89876751062,27555.518686111256,55
2018-11-26,400.6199186006364,27576.967451749875,27977.587370350513,55
2018-11-27,400.6199186006364,27609.603713103337,28010.223631703975,55
2018-11-28,400.6199186006364,28141.9486560526,28542.568574653236,55
2018-11-29,507.3812650762244,27879.83193610579,28387.213201182014,55
2018-11-30,507.3812650762244,27968.78710498609,28476.168370062314,55
2018-12-03,507.3812650762244,28353.772298225464,28861.153563301687,55
2018-12-04,2207.246534291555,25775.66701972253,27982.913554014085,52
2018-12-06,82.95757998534077,27676.2903065084,27759.24788649374,56
2018-12-07,728.1035728485167,26442.824769243456,27170.928342091975,55
2018-12-10,187.86670079407816,26823.97690192785,27011.84360272193,56
2018-12-11,187.86670079407816,26732.43698553508,26920.30368632916,56
2018-12-12,187.86670079407816,26937.454313135022,27125.3210139291,56
2018-12-13,187.86670079407816,26811.379539391808,26999.246240185887,56
2018-12-14,187.86670079407816,26317.716203789805,26505.582904583884,56
2018-12-17,752.9279229379335,25270.460786510648,26023.388709448584,55
2018-12-18,234.64886260288836,25679.304154149373,25913.95301675226,56
2018-12-19,234.64886260288836,25300.084231643836,25534.733094246723,56
2018-12-20,234.64886260288836,24882.451526421668,25117.100389024556,56
2018-12-21,234.64886260288836,24375.55645792687,24610.205320529756,56
2018-12-24,234.64886260288836,23825.79750845121,24060.4463710541,56
2018-12-26,234.64886260288836,24895.13634906678,25129.785211669667,56
2018-12-27,234.64886260288836,25116.531246730676,25351.180109333563,56
2018-12-28,234.64886260288836,25033.603907665463,25268.25277026835,56
2018-12-31,234.64886260288836,25228.90865755719,25463.557520160077,56
2019-01-02,234.64886260288836,25251.956381349337,25486.605243952225,56
2019-01-03,234.64886260288836,24786.329156175405,25020.978018778293,56
2019-01-04,234.64886260288836,25595.054864071113,25829.703726674,56
2019-01-07,234.64886260288836,25780.66711866588,26015.315981268766,56
2019-01-08,234.64886260288836,26027.67132128863,26262.32018389152,56
2019-01-09,234.64886260288836,26216.588890952335,26451.237753555222,56
2019-01-10,234.64886260288836,26400.686571127717,26635.335433730605,56
2019-01-11,234.64886260288836,26424.280782891365,26658.929645494252,56
2019-01-14,143.36119358641156,26333.940345558363,26477.301539144773,56
2019-01-15,143.36119358641156,26541.219271989594,26684.580465576004,56
2019-01-16,262.2296969221155,26590.969940453062,26853.19963737518,56
2019-01-17,262.2296969221155,26808.724591661994,27070.95428858411,56
2019-01-18,262.2296969221155,27230.80292177935,27493.032618701465,56
2019-01-22,156.08259691481635,26995.42832206798,27151.510918982796,56
2019-01-23,109.67692290743594,27098.55298562817,27208.229908535603,55
2019-01-24,109.67692290743594,27147.9319574866,27257.608880394033,55
2019-01-25,89.78736848742722,27372.638297984977,27462.425666472405,55
2019-01-28,17.424469346977844,27317.91418567158,27335.338655018557,55
2019-01-29,536.2091764310946,26871.495134943212,27407.704311374306,54
2019-01-30,520.2842366935728,27190.371888501784,27710.656125195357,54
2019-01-31,424.1609775420875,27495.198320040956,27919.359297583043,54
2019-02-01,1449.6258039604245,26480.98217980954,27930.607983769965,52
2019-02-04,304.22897910765573,27826.008133245305,28130.23711235296,54
2019-02-05,310.4227600759539,27953.246663834758,28263.669423910713,54
2019-02-06,759.798213934841,27479.060368900882,28238.858582835725,53
2019-02-07,3657.108321738994,24459.878408744367,28116.98673048336,47
2019-02-08,4826.243505502254,23297.29535612648,28123.538861628735,45
2019-02-11,6945.610146841788,21169.036014563317,28114.646161405104,41
2019-02-12,144.1878998417186,28222.35950757886,28366.54740742058,53
