Symbol,CAGR,Sharpe,MaxDD,Final_Equity,Trades,Signal-to-Profit
APD,0.09105307210554758,0.5796383996039904,-0.2802345911673968,2.5790548374038273,38,0.7631578947368421
DTE,0.09097556604305623,0.7258454325215032,-0.21108766975266846,2.5770636700666096,30,0.8
ADP,0.09020696460557276,0.5620729781905069,-0.3982344844423489,2.5573933575104446,32,0.78125
HON,0.08941914047915667,0.5127121474250174,-0.44655141147770605,2.53737267097222,32,0.8125
ISRG,0.08920948658483807,0.47091563510274725,-0.42575161461946875,2.5320688439666674,37,0.7837837837837838
DE,0.08866141116397563,0.4860565451989857,-0.374155418321921,2.5182511465404804,35,0.7428571428571429
CAT,0.08831258524210539,0.48834667923076314,-0.402136592348286,2.5094924826591436,37,0.7297297297297297
IP,0.0880537565524584,0.4799415670386324,-0.4906651861290273,2.5030114447569844,42,0.8095238095238095
WEC,0.08748586349777532,0.7931372414569975,-0.12441238897957729,2.4888446980849586,40,0.75
MCHP,0.08506463667788156,0.4470439187410872,-0.4946996550700842,2.429257666654808,37,0.8378378378378378
EFX,0.08471968538419872,0.4929890378673527,-0.3642827372553481,2.420874578652994,28,0.7857142857142857
LUV,0.08440950641277367,0.4291250264828307,-0.5955961903693924,2.4133589748699107,31,0.7419354838709677
BAX,0.08371136799980317,0.5878005464252211,-0.32459943514750533,2.396520600925104,32,0.78125
BDX,0.08366031466308521,0.6211393651915182,-0.22038920028263564,2.395293443312173,32,0.875
INTC,0.08202908271147935,0.48724191475816686,-0.3426839895238948,2.3563829762004675,35,0.7714285714285715
AZO,0.08177204068040034,0.6027985244390878,-0.3558916193116485,2.350304264227762,31,0.8064516129032258
BSX,0.0817095276781783,0.45182511023900973,-0.3537029874660137,2.348828066676554,31,0.7096774193548387
CMI,0.08095741377716248,0.44883793790716336,-0.4849415689691695,2.331133340103406,41,0.8048780487804879
AKAM,0.08087438921295886,0.4024302315786852,-0.5580476183713671,2.329187486530798,30,0.7
ED,0.07996528982544882,0.7022395995514833,-0.164461742850328,2.3079771288802946,40,0.775
IPG,0.07950648948651784,0.4222707752587667,-0.4673418595992487,2.297339506024167,31,0.6774193548387096
MO,0.07905287034575093,0.5431392145172708,-0.5124568603056614,2.286865800765525,35,0.8
WMT,0.07899722580188517,0.560668823011307,-0.31135694013759463,2.2855840025508427,37,0.8648648648648649
SO,0.07856137266289731,0.7198098005691872,-0.1795707139165874,2.2755664657208694,33,0.8181818181818182
DIS,0.07844306933216272,0.4578030303379109,-0.45946879305654764,2.272854300280917,27,0.7037037037037037
FIS,0.07824858633899168,0.4797768360519856,-0.32258805769731447,2.268402054665135,39,0.7948717948717948
PFE,0.07714557109169617,0.601554073537139,-0.2682411726862164,2.2433005072764773,36,0.7777777777777778
